id,season_id,utc_date,status,matchday,home_team_id,away_team_id,home_score,away_score,winner,competition_id
432376,1557,2023-05-27T21:30:00Z,FINISHED,37,1783,1771,1.0,1.0,DRAW,2013
432374,1557,2023-05-28T00:00:00Z,FINISHED,37,1776,4250,2.0,1.0,HOME_TEAM,2013
432370,1557,2023-05-28T19:00:00Z,FINISHED,37,6684,1777,2.0,0.0,HOME_TEAM,2013
432373,1557,2023-05-28T19:00:00Z,FINISHED,37,1779,1765,2.0,0.0,HOME_TEAM,2013
432371,1557,2023-05-28T21:30:00Z,FINISHED,37,1766,1769,1.0,1.0,DRAW,2013
432372,1557,2023-05-28T21:30:00Z,FINISHED,37,4286,6685,2.0,0.0,HOME_TEAM,2013
432375,1557,2023-05-28T22:00:00Z,FINISHED,37,1770,1838,2.0,0.0,HOME_TEAM,2013
432364,1557,2023-06-03T19:00:00Z,FINISHED,37,3984,1777,0.0,0.0,DRAW,2013
432362,1557,2023-06-03T21:30:00Z,FINISHED,37,1771,1766,0.0,1.0,AWAY_TEAM,2013
432363,1557,2023-06-03T21:30:00Z,FINISHED,37,1838,1779,2.0,0.0,HOME_TEAM,2013
432365,1557,2023-06-03T21:30:00Z,FINISHED,37,1768,1770,1.0,0.0,HOME_TEAM,2013
432360,1557,2023-06-04T00:00:00Z,FINISHED,37,6685,6684,1.0,1.0,DRAW,2013
432359,1557,2023-06-04T19:00:00Z,FINISHED,37,1765,4286,2.0,1.0,HOME_TEAM,2013
432366,1557,2023-06-04T19:00:00Z,FINISHED,37,1767,1776,2.0,1.0,HOME_TEAM,2013
432357,1557,2023-06-04T21:30:00Z,FINISHED,37,1769,4241,3.0,1.0,HOME_TEAM,2013
432361,1557,2023-06-04T21:30:00Z,FINISHED,37,4250,4289,0.0,1.0,AWAY_TEAM,2013
432358,1557,2023-06-05T23:00:00Z,FINISHED,37,1780,1783,1.0,4.0,AWAY_TEAM,2013
432349,1557,2023-06-10T19:00:00Z,FINISHED,37,4241,6685,0.0,0.0,DRAW,2013
432348,1557,2023-06-10T21:30:00Z,FINISHED,37,1777,1771,2.0,2.0,DRAW,2013
432351,1557,2023-06-10T21:30:00Z,FINISHED,37,1766,4286,1.0,1.0,DRAW,2013
432353,1557,2023-06-10T21:30:00Z,FINISHED,37,1779,4289,1.0,1.0,DRAW,2013
432355,1557,2023-06-11T00:00:00Z,FINISHED,37,1770,3984,2.0,0.0,HOME_TEAM,2013
432347,1557,2023-06-11T14:00:00Z,FINISHED,37,1838,1768,2.0,2.0,DRAW,2013
432350,1557,2023-06-11T19:00:00Z,FINISHED,37,6684,1780,2.0,1.0,HOME_TEAM,2013
432354,1557,2023-06-11T19:00:00Z,FINISHED,37,1776,1769,0.0,2.0,AWAY_TEAM,2013
432352,1557,2023-06-11T21:30:00Z,FINISHED,37,4250,1765,2.0,2.0,DRAW,2013
432356,1557,2023-06-11T21:30:00Z,FINISHED,37,1783,1767,3.0,0.0,HOME_TEAM,2013
432341,1557,2023-06-21T22:00:00Z,FINISHED,37,1771,3984,0.0,1.0,AWAY_TEAM,2013
432344,1557,2023-06-21T22:00:00Z,FINISHED,37,1776,1768,2.0,1.0,HOME_TEAM,2013
432343,1557,2023-06-21T23:00:00Z,FINISHED,37,6685,1779,0.0,2.0,AWAY_TEAM,2013
432338,1557,2023-06-22T00:30:00Z,FINISHED,37,1777,1769,1.0,0.0,HOME_TEAM,2013
432346,1557,2023-06-22T00:30:00Z,FINISHED,37,1765,1766,1.0,1.0,DRAW,2013
432340,1557,2023-06-22T22:00:00Z,FINISHED,37,1767,1838,3.0,1.0,HOME_TEAM,2013
432337,1557,2023-06-22T23:00:00Z,FINISHED,37,4289,1770,0.0,1.0,AWAY_TEAM,2013
432339,1557,2023-06-22T23:00:00Z,FINISHED,37,4241,6684,0.0,1.0,AWAY_TEAM,2013
432345,1557,2023-06-22T23:00:00Z,FINISHED,37,1780,4250,0.0,1.0,AWAY_TEAM,2013
432342,1557,2023-06-23T00:30:00Z,FINISHED,37,4286,1783,4.0,0.0,HOME_TEAM,2013
432329,1557,2023-06-24T19:00:00Z,FINISHED,37,1768,1779,1.0,0.0,HOME_TEAM,2013
432328,1557,2023-06-24T21:30:00Z,FINISHED,37,3984,1766,2.0,1.0,HOME_TEAM,2013
432336,1557,2023-06-24T21:30:00Z,FINISHED,37,1765,1777,2.0,1.0,HOME_TEAM,2013
432331,1557,2023-06-25T00:00:00Z,FINISHED,37,1771,1776,1.0,0.0,HOME_TEAM,2013
432330,1557,2023-06-25T19:00:00Z,FINISHED,37,1767,4241,5.0,1.0,HOME_TEAM,2013
432334,1557,2023-06-25T19:00:00Z,FINISHED,37,1769,1770,0.0,1.0,AWAY_TEAM,2013
432327,1557,2023-06-25T21:30:00Z,FINISHED,37,1838,6684,1.0,2.0,AWAY_TEAM,2013
432332,1557,2023-06-25T21:30:00Z,FINISHED,37,4286,4250,2.0,0.0,HOME_TEAM,2013
432333,1557,2023-06-25T21:30:00Z,FINISHED,37,6685,1783,2.0,3.0,AWAY_TEAM,2013
432335,1557,2023-06-27T00:00:00Z,FINISHED,37,1780,4289,1.0,0.0,HOME_TEAM,2013
432319,1557,2023-07-01T19:00:00Z,FINISHED,37,1776,1765,1.0,0.0,HOME_TEAM,2013
432317,1557,2023-07-01T21:30:00Z,FINISHED,37,1783,3984,2.0,0.0,HOME_TEAM,2013
432322,1557,2023-07-01T21:30:00Z,FINISHED,37,1777,1767,1.0,2.0,AWAY_TEAM,2013
432324,1557,2023-07-02T00:00:00Z,FINISHED,37,6684,1771,0.0,0.0,DRAW,2013
432320,1557,2023-07-02T14:00:00Z,FINISHED,37,1779,4286,0.0,1.0,AWAY_TEAM,2013
432318,1557,2023-07-02T19:00:00Z,FINISHED,37,1770,1780,2.0,0.0,HOME_TEAM,2013
432323,1557,2023-07-02T19:00:00Z,FINISHED,37,1768,1769,2.0,2.0,DRAW,2013
432325,1557,2023-07-02T19:00:00Z,FINISHED,37,1766,1838,2.0,2.0,DRAW,2013
432321,1557,2023-07-02T21:30:00Z,FINISHED,37,4289,6685,3.0,0.0,HOME_TEAM,2013
432326,1557,2023-07-03T23:00:00Z,FINISHED,37,4250,4241,1.0,2.0,AWAY_TEAM,2013
432312,1557,2023-07-08T19:00:00Z,FINISHED,37,4289,1777,1.0,1.0,DRAW,2013
432315,1557,2023-07-08T19:00:00Z,FINISHED,37,1780,1771,0.0,1.0,AWAY_TEAM,2013
432308,1557,2023-07-08T21:30:00Z,FINISHED,37,1766,1779,0.0,1.0,AWAY_TEAM,2013
432310,1557,2023-07-08T21:30:00Z,FINISHED,37,4241,1838,3.0,1.0,HOME_TEAM,2013
432314,1557,2023-07-09T00:00:00Z,FINISHED,37,1769,1783,1.0,1.0,DRAW,2013
432313,1557,2023-07-09T14:00:00Z,FINISHED,37,6685,4250,4.0,3.0,HOME_TEAM,2013
432307,1557,2023-07-09T19:00:00Z,FINISHED,37,4286,1776,0.0,0.0,DRAW,2013
432316,1557,2023-07-09T19:00:00Z,FINISHED,37,1765,6684,2.0,0.0,HOME_TEAM,2013
432309,1557,2023-07-09T21:30:00Z,FINISHED,37,1767,1770,0.0,2.0,AWAY_TEAM,2013
432311,1557,2023-07-09T21:30:00Z,FINISHED,37,3984,1768,1.0,0.0,HOME_TEAM,2013
432305,1557,2023-07-16T00:00:00Z,FINISHED,37,1770,4286,2.0,0.0,HOME_TEAM,2013
432301,1557,2023-07-16T14:00:00Z,FINISHED,37,1771,4241,0.0,0.0,DRAW,2013
432298,1557,2023-07-16T19:00:00Z,FINISHED,37,3984,4289,0.0,1.0,AWAY_TEAM,2013
432304,1557,2023-07-16T19:00:00Z,FINISHED,37,1776,6685,4.0,1.0,HOME_TEAM,2013
432306,1557,2023-07-16T19:00:00Z,FINISHED,37,1765,1783,0.0,0.0,DRAW,2013
432299,1557,2023-07-16T21:30:00Z,FINISHED,37,1768,1777,2.0,0.0,HOME_TEAM,2013
432300,1557,2023-07-16T21:30:00Z,FINISHED,37,6684,1769,0.0,0.0,DRAW,2013
432302,1557,2023-07-17T23:00:00Z,FINISHED,37,4250,1766,0.0,0.0,DRAW,2013
432293,1557,2023-07-22T19:00:00Z,FINISHED,37,1769,3984,3.0,1.0,HOME_TEAM,2013
432295,1557,2023-07-22T19:00:00Z,FINISHED,37,1783,1838,1.0,1.0,DRAW,2013
432289,1557,2023-07-22T21:30:00Z,FINISHED,37,1777,1779,0.0,0.0,DRAW,2013
